Teff,LogL,LogL_lb,LogL_ub
3460.0,-1.7316174767272141,-1.757188455530296,-1.7052952456054176
3465.0,-1.722107281298351,-1.7479159066480499,-1.696020929788166
3470.0,-1.712908792477481,-1.7387680008337267,-1.6866163936988878
3475.0,-1.7037627163510387,-1.7296148918699166,-1.6774444824949915
3477.2142085157257,-1.6995597703910434,-1.7255193797207558,-1.6734043120309414
3480.0,-1.6944127313586614,-1.7204556505559199,-1.6683046759808526
3485.0,-1.6853268512962054,-1.7112844715401434,-1.6592553767303648
3490.0,-1.6763248892728995,-1.7024200656231199,-1.6501477266211617
3491.7679209469034,-1.673181423689134,-1.6990475659044648,-1.6471278324327878
3495.0,-1.6674121215454467,-1.6934554791274936,-1.641333890314426
3499.341757997378,-1.6596013063143245,-1.6856603379289148,-1.6334078207778748
3500.0,-1.6583199563893356,-1.6845807698941375,-1.6323657249555845
3505.0,-1.6495875065950751,-1.675735583850262,-1.6234370414133605
3510.0,-1.6408260207430247,-1.666829350111642,-1.6147203208833538
3511.271905081443,-1.638587676441003,-1.6648723814012956,-1.6123662120532583
3515.0,-1.6321463161116263,-1.6582199868450795,-1.6058695818008408
3517.6243931228582,-1.6273074951917754,-1.653645638735021,-1.601408672189513
3520.0,-1.623245932643668,-1.6495132973054387,-1.5972147448573657
3525.0,-1.6147704750419671,-1.6409297465795463,-1.5887776630935464
3530.0,-1.60627486453603,-1.6323135969527145,-1.5800822125831455
3535.0,-1.5978419342001953,-1.6238685091459486,-1.5717327926296527
3538.6309627794844,-1.5917220061228285,-1.6178060498519937,-1.5655125524224893
3540.0,-1.589270352135067,-1.61537963617199,-1.563260946302475
3545.0,-1.5810281482391573,-1.6070936124952928,-1.5549221732685388
3546.9397830150033,-1.5778466857390447,-1.6039161019863837,-1.5518833198263688
3550.0,-1.572878088788325,-1.5986854694214485,-1.5466447490939141
3555.0,-1.564617235904911,-1.5906785120063416,-1.5384883224342139
3560.0,-1.5565395140766238,-1.5825988595569118,-1.5304850006219677
3565.0,-1.5484139547582971,-1.5743874362102963,-1.5222669144788041
3570.0,-1.540506354724447,-1.566258092102052,-1.514467097899099
3575.0,-1.5325797099993848,-1.5580914054830195,-1.5064559060952085
3580.0,-1.5247596649487014,-1.550176077814833,-1.4983987654581594
3585.0,-1.5169413096171822,-1.5423188329971753,-1.4906250637294138
3588.6669892795835,-1.511195351249924,-1.536688234581554,-1.4848385265867476
3590.0,-1.509107550246684,-1.5345342234163482,-1.4827994495261192
3595.0,-1.5013280369413282,-1.5269630481108774,-1.4752062925108507
3600.0,-1.4938196815543479,-1.5192435109655131,-1.4674728350278077
3601.123478313137,-1.4920614353756236,-1.5174110613348737,-1.465794686644731
3605.0,-1.4862701948127772,-1.5114641010241494,-1.4598833261945514
3610.0,-1.4786644504106388,-1.5040961028515167,-1.452471716458838
3615.0,-1.471301227839057,-1.4966607231020361,-1.445299517060405
3620.0,-1.4638518953204005,-1.4893571218286874,-1.4378252269990586
3621.3113849900224,-1.4619248638833393,-1.487434104024365,-1.435968013251683
3625.0,-1.4565166233855154,-1.48191549081595,-1.4305300882294771
3627.980596232222,-1.4522910173749932,-1.4776321870287583,-1.4262546765270598
3630.0,-1.4493816867866804,-1.4747383430980034,-1.4232849677028463
3631.6667546659464,-1.4468646940442822,-1.4725010349825445,-1.4210024889007884
3635.0,-1.4420487950905776,-1.4675943906885056,-1.416104383836986
3640.0,-1.4349187142614857,-1.4605703293135681,-1.4090154878820347
3645.0,-1.427989017641869,-1.4535105018222596,-1.4019765652784366
3649.2941159184084,-1.4219098418806517,-1.4475569341661243,-1.3959375842535098
3650.0,-1.4209441642278522,-1.4465116075131699,-1.3950521781698013
3655.0,-1.4140909208746213,-1.4396698466289124,-1.388101817809203
3660.0,-1.4072814233550068,-1.4328421836218102,-1.3812585355124805
3665.0,-1.4004446545760683,-1.4263152050811423,-1.3743176713903964
3670.0,-1.3936273350365644,-1.4197020511498009,-1.3675614595760084
3670.34333094965,-1.393159859908428,-1.4192374480927072,-1.3671205743941173
3672.0063519574537,-1.3909985996730077,-1.4170754048876995,-1.3648433648790597
